Type,T,K_0.8,K_0.85,K_0.9,K_0.95,K_1,K_1.05,K_1.1,K_1.15,K_1.2
Call,5,31.4917,27.1401,22.7886,18.437,14.0855,9.7339,5.3824,1.0664,0
Call,10,27.1051,23.3597,19.6143,15.8689,12.1235,8.3781,4.6326,0.9178,0
Call,21,20.5802,16.9564,14.1012,11.4085,8.7158,6.0232,3.3305,0.6599,0
Call,42,20.2231,15.1673,10.2526,6.8636,4.7093,3.2079,1.7738,0.3514,0
Call,63,20.2231,15.1673,10.1116,5.5745,3.0651,1.7395,0.9447,0.1872,0
Call,126,20.2231,15.1673,10.1116,5.0558,1.4565,0.4626,0.1471,0.0283,0
Put,5,0,0.0123,3.9738,9.0296,14.0855,19.1413,24.1971,29.2529,34.3088
Put,10,0,0.0106,3.4203,7.7719,12.1235,16.4751,20.8266,25.1782,29.5298
Put,21,0,0.0076,2.4589,5.5874,8.7158,11.8443,14.9728,18.1317,21.6885
Put,42,0,0.0041,1.3096,2.9758,4.7093,7.0775,10.492,15.1673,20.2231
Put,63,0,0.0022,0.6975,1.604,3.0651,5.6801,10.1116,15.1673,20.2231
Put,126,0,0.0003,0.1056,0.4136,1.4565,5.0558,10.1116,15.1673,20.2231
