S0,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094,112.957981792094
K,90.3663854336755,90.3663854336755,96.0142845232802,96.0142845232802,101.662183612885,101.662183612885,107.31008270249,107.31008270249,112.957981792094,112.957981792094,118.605880881699,118.605880881699,124.253779971304,124.253779971304,129.901679060908,129.901679060908,135.549578150513,135.549578150513,90.3663854336755,90.3663854336755,96.0142845232802,96.0142845232802,101.662183612885,101.662183612885,107.31008270249,107.31008270249,112.957981792094,112.957981792094,118.605880881699,118.605880881699,124.253779971304,124.253779971304,129.901679060908,129.901679060908,135.549578150513,135.549578150513,90.3663854336755,90.3663854336755,96.0142845232802,96.0142845232802,101.662183612885,101.662183612885,107.31008270249,107.31008270249,112.957981792094,112.957981792094,118.605880881699,118.605880881699,124.253779971304,124.253779971304,129.901679060908,129.901679060908,135.549578150513,135.549578150513,90.3663854336755,90.3663854336755,96.0142845232802,96.0142845232802,101.662183612885,101.662183612885,107.31008270249,107.31008270249,112.957981792094,112.957981792094,118.605880881699,118.605880881699,124.253779971304,124.253779971304,129.901679060908,129.901679060908,135.549578150513,135.549578150513,90.3663854336755,90.3663854336755,96.0142845232802,96.0142845232802,101.662183612885,101.662183612885,107.31008270249,107.31008270249,112.957981792094,112.957981792094,118.605880881699,118.605880881699,124.253779971304,124.253779971304,129.901679060908,129.901679060908,135.549578150513,135.549578150513,90.3663854336755,90.3663854336755,96.0142845232802,96.0142845232802,101.662183612885,101.662183612885,107.31008270249,107.31008270249,112.957981792094,112.957981792094,118.605880881699,118.605880881699,124.253779971304,124.253779971304,129.901679060908,129.901679060908,135.549578150513,135.549578150513
r,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
T,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
corp,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
alpha,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06
beta,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
omega,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
gamma,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lambda,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
