Type,T,K_0.8,K_0.85,K_0.9,K_0.95,K_1,K_1.05,K_1.1,K_1.15,K_1.2
Call,5,35.7493,30.8094,25.8695,20.9297,15.9898,11.0499,6.11,1.2106,0
Call,10,30.7697,26.5179,22.2661,18.0143,13.7625,9.5107,5.259,1.0419,0
Call,21,23.3626,19.2488,16.0076,12.9509,9.8942,6.8375,3.7808,0.7491,0
Call,42,22.9572,17.2179,11.6388,7.7915,5.346,3.6416,2.0136,0.399,0
Call,63,22.9572,17.2179,11.4786,6.3281,3.4795,1.9747,1.0724,0.2125,0
Call,126,22.9572,17.2179,11.4786,5.7393,1.6534,0.5252,0.167,0.0321,0
Put,5,0,0.014,4.5111,10.2504,15.9898,21.7291,27.4685,33.2079,38.9472
Put,10,0,0.012,3.8827,8.8226,13.7625,18.7024,23.6424,28.5823,33.5222
Put,21,0,0.0087,2.7914,6.3428,9.8942,13.4456,16.9971,20.583,24.6208
Put,42,0,0.0046,1.4867,3.3781,5.346,8.0343,11.9105,17.2179,22.9572
Put,63,0,0.0025,0.7918,1.8209,3.4795,6.448,11.4786,17.2179,22.9572
Put,126,0,0.0004,0.1199,0.4696,1.6534,5.7393,11.4786,17.2179,22.9572
