S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
90.99,0.8,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.300201,18.2325
90.99,0.8,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.254128,0.00769015
90.99,0.85,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.315414,13.7109
90.99,0.85,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.216999,0.0464176
90.99,0.9,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.281383,9.52459
90.99,0.9,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.26283,0.417091
90.99,0.95,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.188025,5.17367
90.99,0.95,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.204942,0.620339
90.99,1,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.251712,2.86533
90.99,1,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.262058,2.86318
90.99,1.05,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.224076,0.900397
90.99,1.05,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.214753,5.44952
90.99,1.1,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.192037,0.120664
90.99,1.1,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.191202,9.22366
90.99,1.15,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.296305,0.325014
90.99,1.15,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.310338,13.9855
90.99,1.2,0.000198413,0.119048,1,0.00000133,0.8,0.000001,5,0.2,0.243405,0.0106744
90.99,1.2,0.000198413,0.119048,-1,0.00000133,0.8,0.000001,5,0.2,0.25306,18.2312
90.99,0.8,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.278073,18.3462
90.99,0.8,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.274823,0.109023
90.99,0.85,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.321677,14.281
90.99,0.85,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.266827,0.607973
90.99,0.9,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.215551,9.59557
90.99,0.9,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.18071,0.48335
90.99,0.95,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.224508,6.51276
90.99,0.95,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.230653,1.956
90.99,1,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.30669,5.18001
90.99,1,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.324912,5.17571
90.99,1.05,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.22646,2.38576
90.99,1.05,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.26249,6.93413
90.99,1.1,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.133463,0.250653
90.99,1.1,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.173726,9.35404
90.99,1.15,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.155204,0.129579
90.99,1.15,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.166016,13.7933
90.99,1.2,0.000198413,0.238095,1,0.00000133,0.8,0.000001,5,0.2,0.170556,0.100066
90.99,1.2,0.000198413,0.238095,-1,0.00000133,0.8,0.000001,5,0.2,0.241172,18.3286
90.99,0.8,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.235504,18.3055
90.99,0.8,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.205273,0.0586814
90.99,0.85,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.159439,13.751
90.99,0.85,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.131619,0.0724441
90.99,0.9,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.216979,10.2656
90.99,0.9,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.21472,1.14858
90.99,0.95,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.138106,5.70013
90.99,0.95,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.142583,1.1411
90.99,1,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.216512,4.38837
90.99,1,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.215391,4.38192
90.99,1.05,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.214566,2.8856
90.99,1.05,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.225439,7.43277
90.99,1.1,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.207726,2.07887
90.99,1.1,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.220594,11.1841
90.99,1.15,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.20052,0.488516
90.99,1.15,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.230365,14.1549
90.99,1.2,0.000198413,0.357143,1,0.00000133,0.8,0.000001,5,0.2,0.145758,0.0406136
90.99,1.2,0.000198413,0.357143,-1,0.00000133,0.8,0.000001,5,0.2,0.176809,18.2745
90.99,0.8,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.25069,19.0439
90.99,0.8,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.22543,0.771468
90.99,0.85,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.325156,16.9923
90.99,0.85,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.270401,3.2899
90.99,0.9,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.269065,12.9706
90.99,0.9,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.248736,3.83807
90.99,0.95,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.177936,7.67944
90.99,0.95,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.175753,3.1112
90.99,1,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.178425,5.53027
90.99,1,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.191604,5.51737
90.99,1.05,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.260457,5.07047
90.99,1.05,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.221219,9.61455
90.99,1.1,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.168685,2.52939
90.99,1.1,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.189902,11.6338
90.99,1.15,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.183076,1.48824
90.99,1.15,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.195126,15.1603
90.99,1.2,0.000198413,0.714286,1,0.00000133,0.8,0.000001,5,0.2,0.187406,1.1039
90.99,1.2,0.000198413,0.714286,-1,0.00000133,0.8,0.000001,5,0.2,0.202154,19.3516
90.99,0.8,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.227059,21.1404
90.99,0.8,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.214481,2.8212
90.99,0.85,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.307435,18.9183
90.99,0.85,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.244165,5.18033
90.99,0.9,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.245597,15.0565
90.99,0.9,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.232725,5.89836
90.99,0.95,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.238169,12.4482
90.99,0.95,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.234824,7.85938
90.99,1,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.186295,8.70419
90.99,1,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.183129,8.6784
90.99,1.05,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.239718,8.88317
90.99,1.05,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.24117,13.4216
90.99,1.1,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.168053,5.41682
90.99,1.1,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.238224,14.5221
90.99,1.15,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.198208,5.51775
90.99,1.15,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.223911,19.2052
90.99,1.2,0.000198413,1.42857,1,0.00000133,0.8,0.000001,5,0.2,0.145975,1.84535
90.99,1.2,0.000198413,1.42857,-1,0.00000133,0.8,0.000001,5,0.2,0.158572,20.1081
