S0,K,r,T,corp,alpha,beta,omega,gamma,lambda,V
1.0,0.5,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.6106084462008954
1.0,0.5,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.5132583205590251
1.0,0.6249999999999999,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.41590819491715475
1.0,0.7500000000000004,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.3185580692752844
1.0,0.8750000000000011,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2212079436334141
1.0,1.0,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12385781799154377
1.0,1.1249999999999991,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.026507692349673432
1.0,1.249999999999998,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,5.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,5.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.39987060385351125
1.0,0.6249999999999999,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.3239091273246437
1.0,0.7500000000000004,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.248093092917163
1.0,0.8750000000000011,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.17227705850968233
1.0,1.0,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.09646015837528865
1.0,1.1249999999999991,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.02064412396780798
1.0,1.249999999999998,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,10.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,10.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.6249999999999999,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.7500000000000004,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.15276876825175292
1.0,0.8750000000000011,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.09939497261041694
1.0,1.0,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.05565325460331025
1.0,1.1249999999999991,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.01191067086929054
1.0,1.249999999999998,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,21.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,21.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.6249999999999999,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.7500000000000004,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,0.8750000000000011,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.046003862430820615
1.0,1.0,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.019475392635234772
1.0,1.1249999999999991,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0041676093592647664
1.0,1.249999999999998,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,42.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,42.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
