number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_lr,params_weight_decay,state
0,0.020914414525032045,2025-01-27 19:37:30.243137,2025-01-27 19:45:39.133714,0 days 00:08:08.890577,256,0.5,188,0.00011415181568033901,0.004130310562273433,COMPLETE
1,0.004726821018266492,2025-01-27 19:45:39.134324,2025-01-27 19:53:45.812226,0 days 00:08:06.677902,32,0.3,164,0.0011627081316406608,0.00013272348700449997,COMPLETE
2,0.004196519870311022,2025-01-27 19:53:45.812875,2025-01-27 20:00:47.979453,0 days 00:07:02.166578,64,0.3,156,0.0012057321347719882,5.917815346072432e-05,COMPLETE
3,0.033580641448497775,2025-01-27 20:00:47.980007,2025-01-27 20:08:37.254546,0 days 00:07:49.274539,256,0.0,178,3.5837477440887745e-05,0.0005943828011990454,COMPLETE
4,0.004544136300683022,2025-01-27 20:08:37.255586,2025-01-27 20:14:52.103102,0 days 00:06:14.847516,256,0.3,131,0.002833465499453243,1.985114925670013e-05,COMPLETE
5,0.014802672527730465,2025-01-27 20:14:52.104097,2025-01-27 20:21:36.215448,0 days 00:06:44.111351,128,0.3,159,0.0005878671718639444,0.0003183174077373432,COMPLETE
6,0.01399351079016924,2025-01-27 20:21:36.216052,2025-01-27 20:26:05.638163,0 days 00:04:29.422111,256,0.4,104,0.00040959405264822307,0.0004035488997158125,COMPLETE
7,0.007327732630074024,2025-01-27 20:26:05.638950,2025-01-27 20:32:00.604190,0 days 00:05:54.965240,128,0.2,139,0.0005149880373244534,7.331345863577058e-05,COMPLETE
8,0.03143494012765587,2025-01-27 20:32:00.604899,2025-01-27 20:36:32.252910,0 days 00:04:31.648011,32,0.5,94,1.6469452170529204e-05,1.8714758876907974e-06,COMPLETE
9,0.05070182830095291,2025-01-27 20:36:32.253522,2025-01-27 20:40:22.443193,0 days 00:03:50.189671,64,0.5,86,1.602666419737045e-05,0.002703090597802874,COMPLETE
10,0.00507673533866182,2025-01-27 20:40:22.443851,2025-01-27 20:42:49.721546,0 days 00:02:27.277695,64,0.1,55,0.009054607019639884,5.500958229672128e-06,COMPLETE
11,0.005436963576357812,2025-01-27 20:42:49.722154,2025-01-27 20:48:42.064930,0 days 00:05:52.342776,64,0.3,134,0.0037607640126961187,1.388277186932481e-05,COMPLETE
12,0.0038927596993744372,2025-01-27 20:48:42.065709,2025-01-27 20:54:02.493093,0 days 00:05:20.427384,256,0.3,125,0.0020096522874312604,3.110397659207548e-05,COMPLETE
13,0.00622280715033412,2025-01-27 20:54:02.493661,2025-01-27 20:58:51.034260,0 days 00:04:48.540599,64,0.3,110,0.001442388780699513,3.3167493797567475e-05,COMPLETE
14,0.01072871796786785,2025-01-27 20:58:51.034835,2025-01-27 21:05:20.949844,0 days 00:06:29.915009,256,0.2,153,0.00014053417247545313,5.4549208424554116e-06,COMPLETE
15,0.004775792651344091,2025-01-27 21:05:20.950438,2025-01-27 21:08:34.122465,0 days 00:03:13.172027,64,0.0,74,0.008512328430805067,7.35516381787523e-05,COMPLETE
16,0.004756465590617154,2025-01-27 21:08:34.123095,2025-01-27 21:17:48.527644,0 days 00:09:14.404549,32,0.1,197,0.001446403282595417,1.2410267682643647e-06,COMPLETE
17,0.017795984540134667,2025-01-27 21:17:48.528231,2025-01-27 21:22:40.908608,0 days 00:04:52.380377,128,0.4,117,0.00016910848885172828,0.0009280357539669708,COMPLETE
18,0.004346769861876964,2025-01-27 21:22:40.909193,2025-01-27 21:28:57.963728,0 days 00:06:17.054535,256,0.3,148,0.003983728193403344,0.0001684431841190327,COMPLETE
19,0.033834713604301216,2025-01-27 21:28:57.964278,2025-01-27 21:36:32.992333,0 days 00:07:35.028055,64,0.3,174,0.0009026893753049452,3.81203362493039e-05,COMPLETE
20,0.015078490972518921,2025-01-27 21:36:32.992922,2025-01-27 21:41:41.579126,0 days 00:05:08.586204,256,0.3,121,0.0002626096142315042,7.724312079200873e-06,COMPLETE
21,0.004612695565447212,2025-01-27 21:41:41.579692,2025-01-27 21:47:59.500819,0 days 00:06:17.921127,256,0.3,148,0.0034130064652860056,0.00013512681582576977,COMPLETE
22,0.008644694276154042,2025-01-27 21:47:59.501382,2025-01-27 21:54:12.878189,0 days 00:06:13.376807,256,0.3,147,0.0022899702831037606,0.0011780198208713286,COMPLETE
23,0.00452711321413517,2025-01-27 21:54:12.878769,2025-01-27 22:01:13.742958,0 days 00:07:00.864189,256,0.3,165,0.004409421637608618,0.0001398199567713209,COMPLETE
24,0.004372258810326457,2025-01-27 22:01:13.743542,2025-01-27 22:07:10.912754,0 days 00:05:57.169212,256,0.3,140,0.002027280812615952,0.00022650667718562075,COMPLETE
25,0.005086556461174041,2025-01-27 22:07:10.913338,2025-01-27 22:12:37.787970,0 days 00:05:26.874632,64,0.0,125,0.005986783365159316,4.091054495414578e-05,COMPLETE
26,0.021203604899346827,2025-01-27 22:12:37.788629,2025-01-27 22:19:46.185392,0 days 00:07:08.396763,128,0.2,171,0.0006668217839947606,1.7913478203065877e-05,COMPLETE
