number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_weight_decay,state
0,7.667782399712539,2025-01-20 16:19:59.404991,2025-01-20 16:20:35.092150,0 days 00:00:35.687159,32,61,2.155861683950841e-05,0.0016976493038749038,COMPLETE
1,2.091626177473766,2025-01-20 16:20:35.092685,2025-01-20 16:22:11.053372,0 days 00:01:35.960687,32,179,0.008074119632424628,0.0005814139323066655,COMPLETE
2,1.9402596354484558,2025-01-20 16:22:11.053830,2025-01-20 16:23:12.683016,0 days 00:01:01.629186,256,183,0.00033978565496394175,0.002608834998338501,COMPLETE
3,1.8501516467049008,2025-01-20 16:23:12.683452,2025-01-20 16:23:42.162361,0 days 00:00:29.478909,64,70,0.009763152446045314,2.4770441485226805e-06,COMPLETE
4,1.7372605204582214,2025-01-20 16:23:42.162819,2025-01-20 16:24:24.197332,0 days 00:00:42.034513,256,123,0.0020098534831033067,1.0146209374287073e-06,COMPLETE
5,1.8251577218373616,2025-01-20 16:24:24.197880,2025-01-20 16:24:59.610230,0 days 00:00:35.412350,64,83,0.0007433640540377896,6.34490542616683e-05,COMPLETE
6,1.9662527863572283,2025-01-20 16:24:59.610720,2025-01-20 16:26:00.520347,0 days 00:01:00.909627,32,114,0.0002821227509296365,3.688716024123865e-06,COMPLETE
7,1.9416774467724125,2025-01-20 16:26:00.520837,2025-01-20 16:26:49.125730,0 days 00:00:48.604893,32,90,0.000660488265269849,0.00045454373775772797,COMPLETE
8,1.7467459006742998,2025-01-20 16:26:49.126178,2025-01-20 16:28:03.264054,0 days 00:01:14.137876,128,199,0.000447825777979405,2.147343856835608e-06,COMPLETE
9,2.120749895165606,2025-01-20 16:28:03.264524,2025-01-20 16:28:41.646272,0 days 00:00:38.381748,32,72,0.0001691673974554618,2.1287442915207693e-06,COMPLETE
10,1.8085391918818157,2025-01-20 16:28:41.646751,2025-01-20 16:29:29.148470,0 days 00:00:47.501719,256,142,0.0027061886958023836,2.5389174928035545e-05,COMPLETE
11,4.006452278657393,2025-01-20 16:29:29.148934,2025-01-20 16:30:23.390410,0 days 00:00:54.241476,128,147,5.4996476085690104e-05,1.1881613037086664e-05,COMPLETE
12,1.6784638274799695,2025-01-20 16:30:23.391019,2025-01-20 16:31:05.319493,0 days 00:00:41.928474,128,113,0.0019049578186469554,1.2332317634608234e-06,COMPLETE
13,1.724467851898887,2025-01-20 16:31:05.319946,2025-01-20 16:31:47.477863,0 days 00:00:42.157917,128,114,0.0022579180378327138,8.532476801231996e-06,COMPLETE
14,1.6479765122587031,2025-01-20 16:31:47.478319,2025-01-20 16:32:24.428365,0 days 00:00:36.950046,128,100,0.002378036845879751,1.0891533503036973e-05,COMPLETE
15,1.747407934882424,2025-01-20 16:32:24.428812,2025-01-20 16:32:59.596936,0 days 00:00:35.168124,128,93,0.0013539546729105705,9.52009033080686e-05,COMPLETE
16,1.5467157838019459,2025-01-20 16:32:59.597391,2025-01-20 16:33:54.108811,0 days 00:00:54.511420,128,142,0.004491995085762841,2.399556106291627e-05,COMPLETE
17,1.5744378065521067,2025-01-20 16:33:54.109260,2025-01-20 16:34:47.574432,0 days 00:00:53.465172,128,146,0.004633328936123267,3.74992511174286e-05,COMPLETE
18,1.7476003170013428,2025-01-20 16:34:47.574917,2025-01-20 16:35:44.567875,0 days 00:00:56.992958,128,156,0.005024402016489856,0.00031045696308861827,COMPLETE
19,3.112317692149769,2025-01-20 16:35:44.568369,2025-01-20 16:36:45.183001,0 days 00:01:00.614632,128,165,0.00011857310845708849,3.550017666903758e-05,COMPLETE
20,1.850677938688369,2025-01-20 16:36:45.183446,2025-01-20 16:37:45.083075,0 days 00:00:59.899629,64,137,0.005858126840718949,0.00020994019920757024,COMPLETE
21,1.8061435330997815,2025-01-20 16:37:45.083553,2025-01-20 16:38:32.694647,0 days 00:00:47.611094,128,127,0.004250566849629917,1.1258118522325861e-05,COMPLETE
22,1.749261888590726,2025-01-20 16:38:32.695102,2025-01-20 16:39:11.288910,0 days 00:00:38.593808,128,101,0.0010485646030180813,2.9091857630355913e-05,COMPLETE
23,1.776994455944408,2025-01-20 16:39:11.289408,2025-01-20 16:40:14.058191,0 days 00:01:02.768783,128,167,0.0026444841789224276,6.964233256816169e-06,COMPLETE
24,1.7452204769307917,2025-01-20 16:40:14.058669,2025-01-20 16:41:03.509299,0 days 00:00:49.450630,128,132,0.004462173750846855,0.0001429264486887704,COMPLETE
25,1.7451028173620051,2025-01-20 16:41:03.509772,2025-01-20 16:41:58.548612,0 days 00:00:55.038840,128,149,0.0035937351449814516,5.5909192986017286e-05,COMPLETE
26,1.7177754857323386,2025-01-20 16:41:58.549066,2025-01-20 16:42:37.717106,0 days 00:00:39.168040,128,105,0.0012214611355981409,1.750899159716607e-05,COMPLETE
27,1.848066676746715,2025-01-20 16:42:37.717607,2025-01-20 16:43:36.390889,0 days 00:00:58.673282,128,159,0.007348728463266039,4.4413123849789294e-05,COMPLETE
28,1.7294303547768366,2025-01-20 16:43:36.391377,2025-01-20 16:44:51.258177,0 days 00:01:14.866800,64,178,0.0007497270064348438,5.164180174409333e-06,COMPLETE
29,10.103070259094238,2025-01-20 16:44:51.258656,2025-01-20 16:45:07.899696,0 days 00:00:16.641040,256,50,2.4428649344471653e-05,1.7498837441205504e-05,COMPLETE
30,1.7114339741793545,2025-01-20 16:45:07.900154,2025-01-20 16:45:52.325103,0 days 00:00:44.424949,128,121,0.0032425880966622223,0.0009345026997882782,COMPLETE
31,1.7309769933873957,2025-01-20 16:45:52.325572,2025-01-20 16:46:31.916406,0 days 00:00:39.590834,128,108,0.0017811309039927553,1.3268421501771732e-06,COMPLETE
32,1.6635407426140525,2025-01-20 16:46:31.916896,2025-01-20 16:47:21.488557,0 days 00:00:49.571661,128,135,0.0015256936636504376,3.554383682801088e-06,COMPLETE
33,1.7000301534479314,2025-01-20 16:47:21.489052,2025-01-20 16:48:12.125860,0 days 00:00:50.636808,128,138,0.006969194276829681,4.709354169739416e-06,COMPLETE
34,1.693247134035284,2025-01-20 16:48:12.126328,2025-01-20 16:49:07.534723,0 days 00:00:55.408395,128,151,0.00976483678318814,0.00659019489854184,COMPLETE
35,1.722572147846222,2025-01-20 16:49:07.535180,2025-01-20 16:49:51.795058,0 days 00:00:44.259878,256,133,0.0013248529657005363,1.4507426086892216e-05,COMPLETE
36,2.0185420425926766,2025-01-20 16:49:51.795532,2025-01-20 16:50:57.564499,0 days 00:01:05.768967,32,124,0.0035202603882874715,3.1120922410256633e-06,COMPLETE
37,1.8632700386501493,2025-01-20 16:50:57.564967,2025-01-20 16:52:07.186928,0 days 00:01:09.621961,64,166,0.005428187672742667,7.597877535936005e-06,COMPLETE
38,1.692661534656178,2025-01-20 16:52:07.187396,2025-01-20 16:52:42.220728,0 days 00:00:35.033332,128,95,0.0005590002781456269,0.00010732719334470731,COMPLETE
39,8.378711037519501,2025-01-20 16:52:42.221234,2025-01-20 16:53:20.992524,0 days 00:00:38.771290,32,74,1.0649972957903478e-05,2.295053892288813e-05,COMPLETE
40,1.7722866860303013,2025-01-20 16:53:20.993077,2025-01-20 16:53:52.316081,0 days 00:00:31.323004,128,84,0.0009037749576317058,6.659491524823677e-05,COMPLETE
41,1.7440400882200762,2025-01-20 16:53:52.316536,2025-01-20 16:54:34.068516,0 days 00:00:41.751980,128,114,0.0017312495591292707,1.4210281625088874e-06,COMPLETE
42,1.6456403732299805,2025-01-20 16:54:34.068984,2025-01-20 16:55:17.437633,0 days 00:00:43.368649,128,118,0.002012979324382786,2.174581718095237e-06,COMPLETE
43,1.6418050527572632,2025-01-20 16:55:17.438104,2025-01-20 16:56:10.272287,0 days 00:00:52.834183,128,143,0.00250020461074138,2.367836479054545e-06,COMPLETE
44,2.0423604448636374,2025-01-20 16:56:10.272803,2025-01-20 16:56:57.187700,0 days 00:00:46.914897,256,142,0.0003179178885672564,2.1691714831880078e-06,COMPLETE
45,1.7459466674111106,2025-01-20 16:56:57.188162,2025-01-20 16:58:03.372951,0 days 00:01:06.184789,128,181,0.002696785188017259,6.228665561146848e-06,COMPLETE
46,1.7722477912902832,2025-01-20 16:58:03.373410,2025-01-20 16:58:47.104585,0 days 00:00:43.731175,128,120,0.008320797251216223,9.407055460295546e-06,COMPLETE
47,1.870080482392084,2025-01-20 16:58:47.105041,2025-01-20 16:59:47.400545,0 days 00:01:00.295504,64,144,0.00020237347770265526,1.9949005104524063e-06,COMPLETE
48,1.920318793959734,2025-01-20 16:59:47.401124,2025-01-20 17:00:54.860097,0 days 00:01:07.458973,32,128,0.0021891375035666097,4.371841283314802e-06,COMPLETE
49,1.9102204279466108,2025-01-20 17:00:54.860606,2025-01-20 17:01:51.031823,0 days 00:00:56.171217,128,153,0.0004925484831594373,2.3273201620185746e-05,COMPLETE
