S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
97.1320023957549,0.8,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,30.251
97.1320023957549,0.8,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,19.4264
97.1320023957549,0.85,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,26.0709
97.1320023957549,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,14.5698
97.1320023957549,0.9,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,21.8908
97.1320023957549,0.9,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,9.7132
97.1320023957549,0.95,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,17.7107
97.1320023957549,0.95,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,4.8566
97.1320023957549,1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,13.5305
97.1320023957549,1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.05,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,9.3504
97.1320023957549,1.05,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,5.1703
97.1320023957549,1.1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.15,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,1.0244
97.1320023957549,1.15,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.2,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.2,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,0.8,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,26.0373
97.1320023957549,0.8,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,19.4264
97.1320023957549,0.85,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,22.4394
97.1320023957549,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,14.5698
97.1320023957549,0.9,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,18.8416
97.1320023957549,0.9,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,9.7132
97.1320023957549,0.95,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,15.2437
97.1320023957549,0.95,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,4.8566
97.1320023957549,1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,11.6458
97.1320023957549,1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.05,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,8.048
97.1320023957549,1.05,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,4.4501
97.1320023957549,1.1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.15,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0.8817
97.1320023957549,1.15,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.2,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,1.2,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
97.1320023957549,0.8,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,19.7694
97.1320023957549,0.8,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,19.4264
