Month,Contracts_1,Contracts_2,Contracts_3,Contracts_4
1,05-Jan-2024 - 12-Jan-2024,12-Jan-2024 - 19-Jan-2024,19-Jan-2024 - 19-Feb-2024,26-Jan-2024 - 02-Feb-2024
2,02-Feb-2024 - 09-Feb-2024,09-Feb-2024 - 16-Feb-2024,16-Feb-2024 - 16-Mar-2024,23-Feb-2024 - 01-Mar-2024
3,01-Mar-2024 - 08-Mar-2024,08-Mar-2024 - 15-Mar-2024,15-Mar-2024 - 15-Apr-2024,22-Mar-2024 - 29-Mar-2024
4,05-Apr-2024 - 12-Apr-2024,12-Apr-2024 - 19-Apr-2024,19-Apr-2024 - 19-May-2024,26-Apr-2024 - 03-May-2024
5,03-May-2024 - 10-May-2024,10-May-2024 - 17-May-2024,17-May-2024 - 17-Jun-2024,24-May-2024 - 31-May-2024
6,07-Jun-2024 - 14-Jun-2024,14-Jun-2024 - 21-Jun-2024,21-Jun-2024 - 21-Jul-2024,28-Jun-2024 - 05-Jul-2024
7,05-Jul-2024 - 12-Jul-2024,12-Jul-2024 - 19-Jul-2024,19-Jul-2024 - 19-Aug-2024,26-Jul-2024 - 02-Aug-2024
8,02-Aug-2024 - 09-Aug-2024,09-Aug-2024 - 16-Aug-2024,16-Aug-2024 - 16-Sep-2024,23-Aug-2024 - 30-Aug-2024
9,06-Sep-2024 - 13-Sep-2024,13-Sep-2024 - 20-Sep-2024,20-Sep-2024 - 20-Oct-2024,27-Sep-2024 - 04-Oct-2024
10,04-Oct-2024 - 11-Oct-2024,11-Oct-2024 - 18-Oct-2024,18-Oct-2024 - 18-Nov-2024,25-Oct-2024 - 01-Nov-2024
11,01-Nov-2024 - 08-Nov-2024,08-Nov-2024 - 15-Nov-2024,15-Nov-2024 - 15-Dec-2024,22-Nov-2024 - 29-Nov-2024
12,06-Dec-2024 - 13-Dec-2024,13-Dec-2024 - 20-Dec-2024,20-Dec-2024 - 20-Jan-2025,27-Dec-2024 - 03-Jan-2025
