Type,T,K_0.8,K_0.85,K_0.9,K_0.95,K_1,K_1.05,K_1.1,K_1.15,K_1.2
Call,3,37.6479,32.4457,27.2435,22.0412,16.839,11.6368,6.4346,1.2749,0
Call,8,32.4039,27.9263,23.4487,18.9711,14.4935,10.0159,5.5383,1.0973,0
Call,19,23.791,20.0796,16.8578,13.6388,10.4197,7.2006,3.9816,0.7889,0
Call,40,22.7686,17.0764,11.6825,7.9911,5.5789,3.835,2.1206,0.4201,0
Call,61,22.7686,17.0764,11.3843,6.352,3.5765,2.0643,1.1294,0.2238,0
Call,124,22.7686,17.0764,11.3843,5.6921,1.664,0.54,0.175,0.0338,0
Put,3,0,0.0147,4.7507,10.7948,16.839,22.8832,28.9274,34.9716,41.0157
Put,8,0,0.0127,4.0889,9.2912,14.4935,19.6957,24.898,30.1003,35.3026
Put,19,0,0.0091,2.9396,6.6797,10.4197,14.1597,17.8998,21.6398,25.473
Put,40,0,0.0049,1.5656,3.5575,5.5789,8.251,11.9564,17.0764,22.7686
Put,61,0,0.0026,0.8338,1.907,3.5765,6.4727,11.3843,17.0764,22.7686
Put,124,0,0.0004,0.1262,0.4829,1.664,5.6921,11.3843,17.0764,22.7686
