S0,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493,107.00471561493
K,85.6037724919441,85.6037724919441,90.9540082726907,90.9540082726907,96.3042440534372,96.3042440534372,101.654479834184,101.654479834184,107.00471561493,107.00471561493,112.354951395677,112.354951395677,117.705187176423,117.705187176423,123.05542295717,123.05542295717,128.405658737916,128.405658737916,85.6037724919441,85.6037724919441,90.9540082726907,90.9540082726907,96.3042440534372,96.3042440534372,101.654479834184,101.654479834184,107.00471561493,107.00471561493,112.354951395677,112.354951395677,117.705187176423,117.705187176423,123.05542295717,123.05542295717,128.405658737916,128.405658737916,85.6037724919441,85.6037724919441,90.9540082726907,90.9540082726907,96.3042440534372,96.3042440534372,101.654479834184,101.654479834184,107.00471561493,107.00471561493,112.354951395677,112.354951395677,117.705187176423,117.705187176423,123.05542295717,123.05542295717,128.405658737916,128.405658737916,85.6037724919441,85.6037724919441,90.9540082726907,90.9540082726907,96.3042440534372,96.3042440534372,101.654479834184,101.654479834184,107.00471561493,107.00471561493,112.354951395677,112.354951395677,117.705187176423,117.705187176423,123.05542295717,123.05542295717,128.405658737916,128.405658737916,85.6037724919441,85.6037724919441,90.9540082726907,90.9540082726907,96.3042440534372,96.3042440534372,101.654479834184,101.654479834184,107.00471561493,107.00471561493,112.354951395677,112.354951395677,117.705187176423,117.705187176423,123.05542295717,123.05542295717,128.405658737916,128.405658737916,85.6037724919441,85.6037724919441,90.9540082726907,90.9540082726907,96.3042440534372,96.3042440534372,101.654479834184,101.654479834184,107.00471561493,107.00471561493,112.354951395677,112.354951395677,117.705187176423,117.705187176423,123.05542295717,123.05542295717,128.405658737916,128.405658737916
r,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
T,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
corp,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
alpha,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06
beta,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
omega,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
gamma,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lambda,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
