S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
109.75759690666,0.8,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,34.1822
109.75759690666,0.8,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.85,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,29.4587
109.75759690666,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.9,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,24.7353
109.75759690666,0.9,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.95,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,20.0118
109.75759690666,0.95,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,5.4879
109.75759690666,1,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,15.2883
109.75759690666,1,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,-0
109.75759690666,1.05,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,10.5649
109.75759690666,1.05,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.1,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,5.8414
109.75759690666,1.1,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.15,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,1.1214
109.75759690666,1.15,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,5,1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,5,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,0.8,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,29.4209
109.75759690666,0.8,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.85,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,25.3554
109.75759690666,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.9,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,21.2898
109.75759690666,0.9,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.95,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,17.2243
109.75759690666,0.95,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,5.4879
109.75759690666,1,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,13.1588
109.75759690666,1,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,-0
109.75759690666,1.05,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,9.0933
109.75759690666,1.05,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.1,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,5.0278
109.75759690666,1.1,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.15,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,0.9652
109.75759690666,1.15,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,10,1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,10,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,0.8,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,22.3373
109.75759690666,0.8,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.85,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,18.4014
109.75759690666,0.85,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.9,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,15.3058
109.75759690666,0.9,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.95,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,12.383
109.75759690666,0.95,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,5.4879
109.75759690666,1,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,9.4602
109.75759690666,1,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,-0
109.75759690666,1.05,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,6.5374
109.75759690666,1.05,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.1,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,3.6146
109.75759690666,1.1,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.15,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,0.6939
109.75759690666,1.15,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,21,1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,21,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,0.8,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.8,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.85,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.85,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.9,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,11.1289
109.75759690666,0.9,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.95,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,7.4415
109.75759690666,0.95,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,5.4879
109.75759690666,1,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,5.1078
109.75759690666,1,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,-0
109.75759690666,1.05,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,3.4817
109.75759690666,1.05,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.1,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,1.9251
109.75759690666,1.1,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.15,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,0.3696
109.75759690666,1.15,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,42,1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,42,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,0.8,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.8,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.85,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.85,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.9,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.9,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.95,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,6.0509
109.75759690666,0.95,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,5.4879
109.75759690666,1,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,3.3257
109.75759690666,1,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,-0
109.75759690666,1.05,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,1.8815
109.75759690666,1.05,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.1,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,1.0253
109.75759690666,1.1,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.15,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,0.1968
109.75759690666,1.15,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,63,1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.2,0.03,63,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,0.8,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.8,0.03,126,-1,1.33e-06,0.8,1e-06,0.5,0.5,21.9515
109.75759690666,0.85,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.85,0.03,126,-1,1.33e-06,0.8,1e-06,0.5,0.5,16.4636
109.75759690666,0.9,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.9,0.03,126,-1,1.33e-06,0.8,1e-06,0.5,0.5,10.9758
109.75759690666,0.95,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,5.4879
109.75759690666,0.95,0.03,126,-1,1.33e-06,0.8,1e-06,0.5,0.5,5.4879
109.75759690666,1,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,1.573
109.75759690666,1,0.03,126,-1,1.33e-06,0.8,1e-06,0.5,0.5,-0
109.75759690666,1.05,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,0.5019
109.75759690666,1.05,0.03,126,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.1,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,0.1573
109.75759690666,1.1,0.03,126,-1,1.33e-06,0.8,1e-06,0.5,0.5,0
109.75759690666,1.15,0.03,126,1,1.33e-06,0.8,1e-06,0.5,0.5,0.0297
