S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
101.482532459545,0.8,0.03,5,1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.8,0.03,5,-1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.85,0.03,5,1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.85,0.03,5,-1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.9,0.03,5,1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.9,0.03,5,-1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.95,0.03,5,1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,0.95,0.03,5,-1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,1,0.03,5,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1,0.03,5,-1,0.1,0.8,1e-06,0,0.15,-0
101.482532459545,1.05,0.03,5,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.05,0.03,5,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,5,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,5,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,5,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,5,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,5,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,5,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,0.8,0.03,10,1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.8,0.03,10,-1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.85,0.03,10,1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.85,0.03,10,-1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.9,0.03,10,1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.9,0.03,10,-1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.95,0.03,10,1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,0.95,0.03,10,-1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,1,0.03,10,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1,0.03,10,-1,0.1,0.8,1e-06,0,0.15,-0
101.482532459545,1.05,0.03,10,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.05,0.03,10,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,10,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,10,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,10,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,10,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,10,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,10,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,0.8,0.03,21,1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.8,0.03,21,-1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.85,0.03,21,1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.85,0.03,21,-1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.9,0.03,21,1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.9,0.03,21,-1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.95,0.03,21,1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,0.95,0.03,21,-1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,1,0.03,21,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1,0.03,21,-1,0.1,0.8,1e-06,0,0.15,-0
101.482532459545,1.05,0.03,21,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.05,0.03,21,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,21,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,21,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,21,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,21,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,21,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,21,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,0.8,0.03,42,1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.8,0.03,42,-1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.85,0.03,42,1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.85,0.03,42,-1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.9,0.03,42,1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.9,0.03,42,-1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.95,0.03,42,1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,0.95,0.03,42,-1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,1,0.03,42,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1,0.03,42,-1,0.1,0.8,1e-06,0,0.15,-0
101.482532459545,1.05,0.03,42,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.05,0.03,42,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,42,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,42,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,42,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,42,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,42,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,42,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,0.8,0.03,63,1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.8,0.03,63,-1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.85,0.03,63,1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.85,0.03,63,-1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.9,0.03,63,1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.9,0.03,63,-1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.95,0.03,63,1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,0.95,0.03,63,-1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,1,0.03,63,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1,0.03,63,-1,0.1,0.8,1e-06,0,0.15,-0
101.482532459545,1.05,0.03,63,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.05,0.03,63,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,63,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.1,0.03,63,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,63,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.15,0.03,63,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,63,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1.2,0.03,63,-1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,0.8,0.03,126,1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.8,0.03,126,-1,0.1,0.8,1e-06,0,0.15,20.2965
101.482532459545,0.85,0.03,126,1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.85,0.03,126,-1,0.1,0.8,1e-06,0,0.15,15.2224
101.482532459545,0.9,0.03,126,1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.9,0.03,126,-1,0.1,0.8,1e-06,0,0.15,10.1483
101.482532459545,0.95,0.03,126,1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,0.95,0.03,126,-1,0.1,0.8,1e-06,0,0.15,5.0741
101.482532459545,1,0.03,126,1,0.1,0.8,1e-06,0,0.15,0
101.482532459545,1,0.03,126,-1,0.1,0.8,1e-06,0,0.15,-0
