S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
90.9909602881133,0.81,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,1,26.8692898568421
90.9909602881133,0.81,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.1875,0
90.9909602881133,0.87,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,1,21.40996111174
90.9909602881133,0.87,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.12890625,0.00132505094432434
90.9909602881133,0.93,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,1,15.9611051729138
90.9909602881133,0.93,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.104766845703125,0.0262615100196306
90.9909602881133,0.99,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.824851989746094,10.6958353002075
90.9909602881133,0.99,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.086883544921875,0.686253057889804
90.9909602881133,1.05,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.640090942382812,6.11037834816646
90.9909602881133,1.05,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001953125,4.54954801440566
90.9909602881133,1.11,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.508262634277344,2.84231264237431
90.9909602881133,1.11,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001953125,10.0090056316925
90.9909602881133,1.17,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.420181274414062,1.00183013926347
90.9909602881133,1.17,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001953125,15.4684632489793
90.9909602881133,1.23,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.367095947265625,0.266364198753699
90.9909602881133,1.23,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001953125,20.927920866266
90.9909602881133,1.29,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.335693359375,0.0525162849760601
90.9909602881133,1.29,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,26.3873784835529
90.9909602881133,0.82,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,1,25.9587879791486
90.9909602881133,0.82,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.1875,0
90.9909602881133,0.89,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.846412658691406,19.5897214690919
90.9909602881133,0.89,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.09033203125,0.00638730655937371
90.9909602881133,0.96,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.658321380615234,13.283150789445
90.9909602881133,0.96,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.0679168701171875,0.152817119280779
90.9909602881133,1.03,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.492469787597656,7.52079936904202
90.9909602881133,1.03,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.024658203125,2.73240788489137
90.9909602881133,1.1,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.373054504394531,3.28832193417269
90.9909602881133,1.1,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,9.09909602881133
90.9909602881133,1.17,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.297103881835938,1.0018064287105
90.9909602881133,1.17,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,15.4684632489793
90.9909602881133,1.24,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.256256103515625,0.206722973414376
90.9909602881133,1.24,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,21.8378304691472
90.9909602881133,1.31,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.239501953125,0.0328533822383866
90.9909602881133,1.31,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,28.2071976893151
90.9909602881133,1.38,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.23046875,0.00584625664585779
90.9909602881133,1.38,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,34.5765649094831
90.9909602881133,0.83,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.823936462402344,25.0483290718496
90.9909602881133,0.83,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.09375,0
90.9909602881133,0.91,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.645889282226562,17.7695701802454
90.9909602881133,0.91,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.0675048828125,0.0114493225544578
90.9909602881133,0.99,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.476112365722656,10.6953290244261
90.9909602881133,0.99,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.0502243041992188,0.686243157123202
90.9909602881133,1.07,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.340621948242188,4.85957429319447
90.9909602881133,1.07,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,6.36936722016792
90.9909602881133,1.15,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.25714111328125,1.46978724918208
90.9909602881133,1.15,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,13.648644043217
90.9909602881133,1.23,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.21142578125,0.266351590692798
90.9909602881133,1.23,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,20.9279208662661
90.9909602881133,1.31,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.19573974609375,0.03285260468955
90.9909602881133,1.31,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,28.2071976893151
90.9909602881133,1.39,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.185302734375,0.00342161223419076
90.9909602881133,1.39,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,35.4864745123642
90.9909602881133,1.47,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.1875,0
90.9909602881133,1.47,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,42.7657513354132
90.9909602881133,0.84,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.566448211669922,24.1367716337081
90.9909602881133,0.84,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.09375,0
90.9909602881133,0.93,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.425189971923828,15.9592164858915
90.9909602881133,0.93,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.04278564453125,0.0262585793231391
90.9909602881133,1.02,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.296779632568359,8.27525561258077
90.9909602881133,1.02,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.0244369506835938,1.98259356895513
90.9909602881133,1.11,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.207380294799805,2.84197630983702
90.9909602881133,1.11,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,10.0090056316925
90.9909602881133,1.2,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.15960693359375,0.535804319313679
90.9909602881133,1.2,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.00390625,18.1981920576227
90.9909602881133,1.29,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.136932373046875,0.0525100706929752
90.9909602881133,1.29,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.01171875,26.3873784835529
90.9909602881133,1.38,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.1298828125,0.00584570320650129
90.9909602881133,1.38,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.01171875,34.5765649094831
90.9909602881133,1.47,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.1875,0
90.9909602881133,1.47,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.01171875,42.7657513354132
90.9909602881133,1.56,0.000198412698412698,0.714285714285714,1,1.33e-06,0.8,1e-06,5,0.2,0.1875,0
90.9909602881133,1.56,0.000198412698412698,0.714285714285714,-1,1.33e-06,0.8,1e-06,5,0.2,0.01171875,50.9549377613435
90.9909602881133,0.85,0.000198412698412698,1.42857142857143,1,1.33e-06,0.8,1e-06,5,0.2,0.389080047607422,23.2236955666716
90.9909602881133,0.85,0.000198412698412698,1.42857142857143,-1,1.33e-06,0.8,1e-06,5,0.2,0.046875,0
90.9909602881133,0.95,0.000198412698412698,1.42857142857143,1,1.33e-06,0.8,1e-06,5,0.2,0.278938293457031,14.1674336749689
90.9909602881133,0.95,0.000198412698412698,1.42857142857143,-1,1.33e-06,0.8,1e-06,5,0.2,0.0282745361328125,0.0827411284549463
