S0,Moneyness,r,T,CallPut,alpha,beta,omega,gamma,lambda,sigma,V
100.330711389035,0.81,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,1.50669401097298,29.6271715634317
100.330711389035,0.81,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
100.330711389035,0.87,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,1.27271557128429,23.6074709796508
100.330711389035,0.87,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.132915222167969,0.00147835103238033
100.330711389035,0.93,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,1.04207367989421,17.5993355174023
100.330711389035,0.93,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.10480930519104,0.0290286001359062
100.330711389035,0.99,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.824838204562664,11.7937064673412
100.330711389035,0.99,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.086842648267746,0.756824915584732
100.330711389035,1.05,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.640061319321394,6.73751967640233
100.330711389035,1.05,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,5.01653556945173
100.330711389035,1.11,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.508198348760605,3.13387987468735
100.330711389035,1.11,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,11.0363782527938
100.330711389035,1.17,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.420144259214401,1.1044404251562
100.330711389035,1.17,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,17.0562209361359
100.330711389035,1.23,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.367091191291809,0.293520574486047
100.330711389035,1.23,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,23.076063619478
100.330711389035,1.29,0.000198412698412698,0.119047619047619,1,1.33e-06,0.8,1e-06,5,0.2,0.33549649143219,0.0578156407566304
100.330711389035,1.29,0.000198412698412698,0.119047619047619,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,29.0959063028201
100.330711389035,0.82,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,1.03712325191498,28.6232113845019
100.330711389035,0.82,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
100.330711389035,0.89,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.846416058510542,21.6003931620851
100.330711389035,0.89,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.0907430419921875,0.00707209305488
100.330711389035,0.96,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.658313273429871,14.6465501058907
100.330711389035,0.96,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.067891610622406,0.168604210930231
100.330711389035,1.03,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.492449243083596,8.29274251554342
100.330711389035,1.03,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.0247308120727539,3.01284664629398
100.330711389035,1.1,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.373017660081387,3.62568309579326
100.330711389035,1.1,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,10.0330711389035
100.330711389035,1.17,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.297055735230446,1.10441428610111
100.330711389035,1.17,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,17.0562209361359
100.330711389035,1.24,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.256268208742142,0.22777155040165
100.330711389035,1.24,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,24.0793707333683
100.330711389035,1.31,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.239758546829224,0.0361691516198752
100.330711389035,1.31,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,31.1025205306007
100.330711389035,1.38,0.000198412698412698,0.238095238095238,1,1.33e-06,0.8,1e-06,5,0.2,0.226763442993164,0.00644504410678281
100.330711389035,1.38,0.000198412698412698,0.238095238095238,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,38.1256703278332
100.330711389035,0.83,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.823928552120924,27.6192985864264
100.330711389035,0.83,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
100.330711389035,0.91,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.645900440573692,19.5934127635132
100.330711389035,0.91,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.0675822982788086,0.0126655702996972
100.330711389035,0.99,0.000198412698412698,0.357142857142857,1,1.33e-06,0.8,1e-06,5,0.2,0.476111009120941,11.793148225017
100.330711389035,0.99,0.000198412698412698,0.357142857142857,-1,1.33e-06,0.8,1e-06,5,0.2,0.0502137696743011,0.756813994934353
