S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
101.739342515466,0.8,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,31.6859
101.739342515466,0.8,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,20.3479
101.739342515466,0.85,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,27.3075
101.739342515466,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,15.2609
101.739342515466,0.9,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,22.9291
101.739342515466,0.9,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,10.1739
101.739342515466,0.95,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,18.5507
101.739342515466,0.95,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,5.087
101.739342515466,1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,14.1724
101.739342515466,1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.05,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,9.794
101.739342515466,1.05,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,5.4156
101.739342515466,1.1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.15,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,1.073
101.739342515466,1.15,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.2,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.2,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,0.8,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,27.2723
101.739342515466,0.8,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,20.3479
101.739342515466,0.85,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,23.5038
101.739342515466,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,15.2609
101.739342515466,0.9,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,19.7353
101.739342515466,0.9,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,10.1739
101.739342515466,0.95,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,15.9668
101.739342515466,0.95,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,5.087
101.739342515466,1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,12.1983
101.739342515466,1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.05,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,8.4297
101.739342515466,1.05,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,4.6612
101.739342515466,1.1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.15,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0.9235
101.739342515466,1.15,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.2,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
101.739342515466,1.2,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
