S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
100.631332340813,0.8,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,31.3408
100.631332340813,0.8,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.85,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,27.0101
100.631332340813,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.9,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,22.6794
100.631332340813,0.9,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.95,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,18.3487
100.631332340813,0.95,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,14.018
100.631332340813,1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.05,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,9.6873
100.631332340813,1.05,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,5.3566
100.631332340813,1.1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.15,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,1.0613
100.631332340813,1.15,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,0.8,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,26.9753
100.631332340813,0.8,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.85,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,23.2478
100.631332340813,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.9,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,19.5204
100.631332340813,0.9,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.95,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,15.7929
100.631332340813,0.95,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,12.0654
100.631332340813,1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.05,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,8.3379
100.631332340813,1.05,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,4.6105
100.631332340813,1.1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.15,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0.9135
100.631332340813,1.15,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,0.8,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,20.4816
100.631332340813,0.8,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.85,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,16.8752
100.631332340813,0.85,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.9,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,14.0337
100.631332340813,0.9,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.95,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,11.3539
100.631332340813,0.95,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,1,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,8.6741
100.631332340813,1,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.05,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,5.9943
100.631332340813,1.05,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.1,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.3146
100.631332340813,1.1,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.15,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,0.6567
100.631332340813,1.15,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,0.8,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.8,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.85,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.85,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.9,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,10.2035
100.631332340813,0.9,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.95,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,6.8307
100.631332340813,0.95,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,1,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,4.6867
100.631332340813,1,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.05,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.1925
100.631332340813,1.05,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.1,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,1.7653
100.631332340813,1.1,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.15,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,0.3498
100.631332340813,1.15,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,0.8,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.8,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.85,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.85,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.9,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.9,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.95,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,5.5478
100.631332340813,0.95,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,1,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.0504
100.631332340813,1,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.05,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,1.7312
100.631332340813,1.05,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.1,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0.9402
100.631332340813,1.1,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.15,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0.1863
100.631332340813,1.15,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,0.8,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.8,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.85,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.85,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.9,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.9,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.95,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,0.95,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,1,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,1.4495
100.631332340813,1,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.05,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0.4604
100.631332340813,1.05,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.1,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0.1464
100.631332340813,1.1,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.15,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0.0281
100.631332340813,1.15,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,1.2,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0
100.631332340813,0.8,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.8,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,20.1263
100.631332340813,0.85,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.85,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,15.0947
100.631332340813,0.9,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.9,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,10.0631
100.631332340813,0.95,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,0.95,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,5.0316
100.631332340813,1,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,1.0408
100.631332340813,1,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0
