S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
130.572416745979,0.8,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0535
130.572416745979,0.8,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.85,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0459
130.572416745979,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.9,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0367
130.572416745979,0.9,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,0.95,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0291
130.572416745979,0.95,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0218
130.572416745979,1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0117
130.572416745979,1.05,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0148
130.572416745979,1.05,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234
130.572416745979,1.1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0082
130.572416745979,1.1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.15,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0035
130.572416745979,1.15,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.2,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0059
130.572416745979,1.2,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,0.8,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.8,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.85,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.9,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.9,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,0.95,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.95,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0117
130.572416745979,1.05,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.05,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234
130.572416745979,1.1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.15,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.15,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.2,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.2,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
