S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
100,0.8,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.05352783203125
100,0.8,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.85,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0458984375
100,0.85,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0367431640625
100,0.9,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.95,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.02911376953125
100,0.95,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.02178955078125
100,1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.01171875
100,1.05,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.0147705078125
100,1.05,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.1,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.00823974609375
100,1.1,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.00353050231933594
100,1.15,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,5,1,1.33e-06,0.8,1e-06,100,0.5,0.005859375
100,1.2,0.03,5,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.8,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.8,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.85,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.95,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.95,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.01171875
100,1.05,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.05,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.1,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,10,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,10,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.8,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.8,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.85,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.95,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.95,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.05,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.05,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.1,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,21,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,21,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.8,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.8,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.85,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.95,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.95,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234375
100,1.05,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.05,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.8,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.8,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.85,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.95,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.95,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,1,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.05,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.05,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.8,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.8,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.85,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.9,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.95,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.95,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,1,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.05,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.05,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,0.8,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.8,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.85,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.9,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,0.95,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.95,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100,1,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.05,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.05,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.1,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.1,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.15,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.15,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
100,1.2,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,1.2,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.09375
100,0.8,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.8,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.75
100,0.85,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.85,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
100,0.9,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
100,0.9,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
