S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
104.906161120472,0.8,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,0.8,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
104.906161120472,0.85,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,0.85,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
104.906161120472,0.9,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,0.9,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
104.906161120472,0.95,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,0.95,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
104.906161120472,1,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,1,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
104.906161120472,1.05,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,1.05,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
104.906161120472,1.1,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,1.1,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
104.906161120472,1.15,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,1.15,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
104.906161120472,1.2,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
104.906161120472,1.2,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
112.584450771463,0.8,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,0.8,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
112.584450771463,0.85,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,0.85,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
112.584450771463,0.9,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,0.9,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
112.584450771463,0.95,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,0.95,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
112.584450771463,1,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,1,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
112.584450771463,1.05,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,1.05,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
112.584450771463,1.1,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,1.1,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
112.584450771463,1.15,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,1.15,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
112.584450771463,1.2,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
112.584450771463,1.2,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.046875
94.1010925914747,0.8,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
94.1010925914747,0.8,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
94.1010925914747,0.85,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
94.1010925914747,0.85,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
94.1010925914747,0.9,0.03,90,1,1.33e-06,0.8,1e-06,100,0.5,3.94430452610506e-31
94.1010925914747,0.9,0.03,90,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
