type,strike_price,expiration_date,category
call,95,18-Oct-2024,"ITM, monthly"
call,90,18-Oct-2024,"ITM, monthly"
call,85,18-Oct-2024,"ITM, monthly"
call,80,18-Oct-2024,"ITM, monthly"
call,75,18-Oct-2024,"ITM, monthly"
call,70,18-Oct-2024,"ITM, monthly"
call,100,18-Oct-2024,"ATM, monthly"
call,105,18-Oct-2024,"OTM, monthly"
call,110,18-Oct-2024,"OTM, monthly"
call,115,18-Oct-2024,"OTM, monthly"
call,120,18-Oct-2024,"OTM, monthly"
call,125,18-Oct-2024,"OTM, monthly"
call,130,18-Oct-2024,"OTM, monthly"
call,95,11-Oct-2024,"ITM, weekly"
call,90,11-Oct-2024,"ITM, weekly"
call,100,11-Oct-2024,"ATM, weekly"
call,105,11-Oct-2024,"OTM, weekly"
call,110,11-Oct-2024,"OTM, weekly"
call,95,04-Oct-2024,"ITM, weekly"
call,90,04-Oct-2024,"ITM, weekly"
call,100,04-Oct-2024,"ATM, weekly"
call,105,04-Oct-2024,"OTM, weekly"
call,110,04-Oct-2024,"OTM, weekly"
